cores,total,mut,gc,productivity,speedup,ideal,bench
1,0.060348,0.049571,0.000461,0.821452,1.0023198780406972,1.0023198780406972,Fib
2,0.04035,0.031266,0.000542,0.774924,1.4990830235439903,0.7495415117719951,Fib
3,0.030315,0.021138,0.000833,0.697342,1.9953158502391555,0.6651052834130519,Fib
4,0.020265,0.017042,0.000592,0.841034,2.9848507278559095,0.7462126819639774,Fib
5,0.020236,0.016406,0.000696,0.810904,2.9891282862225736,0.5978256572445148,Fib
5,0.020236,0.017448,0.000934,0.86236,2.9891282862225736,0.5978256572445148,Fib
6,0.020241,0.014583,0.000732,0.720624,2.9883899016846995,0.4980649836141166,Fib
7,0.020267,0.012378,0.000566,0.610835,2.98455617506291,0.42636516786613,Fib
7,0.020267,0.017619,0.00074,0.869446,2.98455617506291,0.42636516786613,Fib
8,0.020245,0.016209,0.000795,0.800768,2.9877994566559645,0.37347493208199556,Fib
