cores,total,mut,gc,productivity,baseline,speedup,ideal,bench
1,0.87047,0.852746,0.010266,0.979643,0.840482,0.9655496455937597,0.9655496455937597,Queens
2,0.450322,0.438859,0.008118,0.97456,0.840482,1.8664022632693937,0.9332011316346969,Queens
3,0.25035,0.23505,0.007827,0.938905,0.840482,3.3572278809666463,1.1190759603222153,Queens
3,0.25035,0.235149,0.008303,0.939298,0.840482,3.3572278809666463,1.1190759603222153,Queens
4,0.180329,0.161399,0.008158,0.895048,0.840482,4.660825491185555,1.1652063727963888,Queens
5,0.170335,0.158333,0.008915,0.929568,0.840482,4.9342883142043625,0.9868576628408725,Queens
6,0.170241,0.155658,0.011189,0.914366,0.840482,4.937012822997985,0.8228354704996641,Queens
7,0.17027,0.151071,0.010688,0.887269,0.840482,4.936171962177717,0.7051674231682453,Queens
7,0.17027,0.148892,0.009736,0.874465,0.840482,4.936171962177717,0.7051674231682453,Queens
8,0.160346,0.146547,0.00738,0.913973,0.840482,5.241677372681576,0.655209671585197,Queens
